cycle number	Ecell/V	Capacity/mA.h	
0.000000000000000E+000	2.7678537E+000	0.000000000000000E+000
0.000000000000000E+000	2.7678142E+000	0.000000000000000E+000
0.000000000000000E+000	2.7675779E+000	0.000000000000000E+000
0.000000000000000E+000	2.7676172E+000	0.000000000000000E+000
0.000000000000000E+000	2.7673416E+000	0.000000000000000E+000
0.000000000000000E+000	2.7672629E+000	0.000000000000000E+000
0.000000000000000E+000	2.7671840E+000	0.000000000000000E+000
0.000000000000000E+000	2.7671053E+000	0.000000000000000E+000
0.000000000000000E+000	2.7669871E+000	0.000000000000000E+000
0.000000000000000E+000	2.7669084E+000	0.000000000000000E+000
0.000000000000000E+000	2.7668295E+000	0.000000000000000E+000
0.000000000000000E+000	2.7666326E+000	0.000000000000000E+000
0.000000000000000E+000	2.7665145E+000	0.000000000000000E+000
0.000000000000000E+000	2.7664356E+000	0.000000000000000E+000
0.000000000000000E+000	2.7663176E+000	0.000000000000000E+000
0.000000000000000E+000	2.7661994E+000	0.000000000000000E+000
0.000000000000000E+000	2.7661207E+000	0.000000000000000E+000
0.000000000000000E+000	2.7661207E+000	0.000000000000000E+000
0.000000000000000E+000	2.7661207E+000	0.000000000000000E+000
0.000000000000000E+000	2.7660418E+000	0.000000000000000E+000
0.000000000000000E+000	2.7660024E+000	0.000000000000000E+000
0.000000000000000E+000	2.7660418E+000	0.000000000000000E+000
0.000000000000000E+000	2.7659235E+000	0.000000000000000E+000
0.000000000000000E+000	2.7659235E+000	0.000000000000000E+000
0.000000000000000E+000	2.7659235E+000	0.000000000000000E+000
0.000000000000000E+000	2.7660024E+000	0.000000000000000E+000
0.000000000000000E+000	2.7660024E+000	0.000000000000000E+000
0.000000000000000E+000	2.7659235E+000	0.000000000000000E+000
0.000000000000000E+000	2.7659631E+000	0.000000000000000E+000
0.000000000000000E+000	2.7658842E+000	0.000000000000000E+000
0.000000000000000E+000	2.7658842E+000	0.000000000000000E+000
0.000000000000000E+000	2.7658055E+000	0.000000000000000E+000
0.000000000000000E+000	2.7657266E+000	0.000000000000000E+000
0.000000000000000E+000	2.7658448E+000	0.000000000000000E+000
0.000000000000000E+000	2.7658448E+000	0.000000000000000E+000
0.000000000000000E+000	2.7658448E+000	0.000000000000000E+000
0.000000000000000E+000	2.7656872E+000	0.000000000000000E+000
0.000000000000000E+000	2.7658448E+000	0.000000000000000E+000
0.000000000000000E+000	2.7658055E+000	0.000000000000000E+000
0.000000000000000E+000	2.7657661E+000	0.000000000000000E+000
0.000000000000000E+000	2.7657266E+000	0.000000000000000E+000
0.000000000000000E+000	2.7658055E+000	0.000000000000000E+000
0.000000000000000E+000	2.7657661E+000	0.000000000000000E+000
0.000000000000000E+000	2.7657266E+000	0.000000000000000E+000
0.000000000000000E+000	2.7657661E+000	0.000000000000000E+000
0.000000000000000E+000	2.7657661E+000	0.000000000000000E+000
0.000000000000000E+000	2.7657266E+000	0.000000000000000E+000
0.000000000000000E+000	2.7658055E+000	0.000000000000000E+000
0.000000000000000E+000	2.7657266E+000	0.000000000000000E+000
0.000000000000000E+000	2.7658448E+000	0.000000000000000E+000
0.000000000000000E+000	2.7656479E+000	0.000000000000000E+000
0.000000000000000E+000	2.7656872E+000	0.000000000000000E+000
0.000000000000000E+000	2.7656872E+000	0.000000000000000E+000
0.000000000000000E+000	2.7656085E+000	0.000000000000000E+000
0.000000000000000E+000	2.7655296E+000	0.000000000000000E+000
0.000000000000000E+000	2.7654903E+000	0.000000000000000E+000
0.000000000000000E+000	2.7654903E+000	0.000000000000000E+000
0.000000000000000E+000	2.7655296E+000	0.000000000000000E+000
0.000000000000000E+000	2.7655296E+000	0.000000000000000E+000
0.000000000000000E+000	2.7656479E+000	0.000000000000000E+000
0.000000000000000E+000	2.7655692E+000	0.000000000000000E+000
0.000000000000000E+000	2.7656479E+000	0.000000000000000E+000
0.000000000000000E+000	2.7656479E+000	0.000000000000000E+000
0.000000000000000E+000	2.7657266E+000	0.000000000000000E+000
0.000000000000000E+000	2.7657661E+000	0.000000000000000E+000
0.000000000000000E+000	2.7657266E+000	0.000000000000000E+000
0.000000000000000E+000	2.7658448E+000	0.000000000000000E+000
0.000000000000000E+000	2.7657661E+000	0.000000000000000E+000
0.000000000000000E+000	2.7658842E+000	0.000000000000000E+000
0.000000000000000E+000	2.7658055E+000	0.000000000000000E+000
0.000000000000000E+000	2.7659235E+000	0.000000000000000E+000
0.000000000000000E+000	2.7658448E+000	0.000000000000000E+000
0.000000000000000E+000	2.7659235E+000	0.000000000000000E+000
0.000000000000000E+000	2.7659631E+000	0.000000000000000E+000
0.000000000000000E+000	2.7658842E+000	0.000000000000000E+000
0.000000000000000E+000	2.7658448E+000	0.000000000000000E+000
0.000000000000000E+000	2.7659235E+000	0.000000000000000E+000
0.000000000000000E+000	2.7659235E+000	0.000000000000000E+000
0.000000000000000E+000	2.7658448E+000	0.000000000000000E+000
0.000000000000000E+000	2.7659235E+000	0.000000000000000E+000
0.000000000000000E+000	2.7658448E+000	0.000000000000000E+000
0.000000000000000E+000	2.7658055E+000	0.000000000000000E+000
0.000000000000000E+000	2.5332172E+000	9.659041961034139E-007
0.000000000000000E+000	2.5304992E+000	1.932573980755276E-006
0.000000000000000E+000	2.5279391E+000	2.898587584495545E-006
0.000000000000000E+000	2.5253394E+000	3.864929212464227E-006
0.000000000000000E+000	2.5230155E+000	4.832036428981358E-006
0.000000000000000E+000	2.5206916E+000	5.798815621270075E-006
0.000000000000000E+000	2.5183284E+000	6.765594813558792E-006
0.000000000000000E+000	2.5161226E+000	7.732702030075923E-006
0.000000000000000E+000	2.5139563E+000	8.699262473318314E-006
0.000000000000000E+000	2.5119081E+000	9.666041665607031E-006
0.000000000000000E+000	2.5096629E+000	1.063271145025889E-005
0.000000000000000E+000	2.5076540E+000	1.160014675723182E-005
0.000000000000000E+000	2.5055666E+000	1.256681654188368E-005
0.000000000000000E+000	2.5035183E+000	1.353403316603767E-005
0.000000000000000E+000	2.5015488E+000	1.450124979019165E-005
0.000000000000000E+000	2.4995008E+000	1.546835700670878E-005
0.000000000000000E+000	2.4974918E+000	1.643491744995117E-005
0.000000000000000E+000	2.4956012E+000	1.740158723460303E-005
0.000000000000000E+000	2.4937105E+000	1.836814767784542E-005
0.000000000000000E+000	2.4917412E+000	1.933459877967834E-005
0.000000000000000E+000	2.4898899E+000	2.030170599619548E-005
0.000000000000000E+000	2.4880781E+000	2.126848518848419E-005
0.000000000000000E+000	2.4861481E+000	2.223548306359185E-005
0.000000000000000E+000	2.4843361E+000	2.320215284824371E-005
0.000000000000000E+000	2.4824848E+000	2.416958815521664E-005
0.000000000000000E+000	2.4804761E+000	2.513658603032430E-005
0.000000000000000E+000	2.4787824E+000	2.610314647356669E-005
0.000000000000000E+000	2.4768918E+000	2.707003500726488E-005
0.000000000000000E+000	2.4752374E+000	2.803659545050726E-005
0.000000000000000E+000	2.4733863E+000	2.900348398420545E-005
0.000000000000000E+000	2.4716926E+000	2.997037251790364E-005
0.000000000000000E+000	2.4698806E+000	3.093682361973656E-005
0.000000000000000E+000	2.4681475E+000	3.190393083625369E-005
0.000000000000000E+000	2.4662962E+000	3.287049127949608E-005
0.000000000000000E+000	2.4645238E+000	3.383727047178480E-005
0.000000000000000E+000	2.4629090E+000	3.480372157361772E-005
0.000000000000000E+000	2.4611363E+000	3.577061010731590E-005
0.000000000000000E+000	2.4594426E+000	3.673738929960462E-005
0.000000000000000E+000	2.4578278E+000	3.770362158616384E-005
0.000000000000000E+000	2.4561734E+000	3.867051011986202E-005
0.000000000000000E+000	2.4544404E+000	3.963630497455596E-005
0.000000000000000E+000	2.4526286E+000	4.060341219107309E-005
0.000000000000000E+000	2.4511318E+000	4.156997263431548E-005
0.000000000000000E+000	2.4493592E+000	4.253675182660420E-005
0.000000000000000E+000	2.4477050E+000	4.350342161125607E-005
0.000000000000000E+000	2.4460113E+000	4.447009139590793E-005
0.000000000000000E+000	2.4444358E+000	4.543741736147138E-005
0.000000000000000E+000	2.4427814E+000	4.640397780471377E-005
0.000000000000000E+000	2.4411271E+000	4.737086633841196E-005
0.000000000000000E+000	2.4395909E+000	4.833775487211015E-005
0.000000000000000E+000	2.4378972E+000	4.930442465676201E-005
0.000000000000000E+000	2.4362431E+000	5.027164128091600E-005
0.000000000000000E+000	2.4347856E+000	5.123831106556786E-005
0.000000000000000E+000	2.4330919E+000	5.220509025785658E-005
0.000000000000000E+000	2.4315557E+000	5.317230688201057E-005
0.000000000000000E+000	2.4300196E+000	5.413908607429928E-005
0.000000000000000E+000	2.4283259E+000	5.510619329081641E-005
0.000000000000000E+000	2.4267108E+000	5.607275373405880E-005
0.000000000000000E+000	2.4251747E+000	5.703964226775699E-005
0.000000000000000E+000	2.4235599E+000	5.800642146004571E-005
0.000000000000000E+000	2.4221025E+000	5.897298190328810E-005
0.000000000000000E+000	2.4205663E+000	5.993932353125678E-005
0.000000000000000E+000	2.4191091E+000	6.090610272354550E-005
0.000000000000000E+000	2.4173758E+000	6.187277250819736E-005
0.000000000000000E+000	2.4159579E+000	6.283998913235136E-005
0.000000000000000E+000	2.4144611E+000	6.380676832464007E-005
0.000000000000000E+000	2.4128857E+000	6.477354751692878E-005
0.000000000000000E+000	2.4113102E+000	6.574032670921749E-005
0.000000000000000E+000	2.4098134E+000	6.670765267478094E-005
0.000000000000000E+000	2.4083560E+000	6.767508798175387E-005
0.000000000000000E+000	2.4068198E+000	6.864132026831309E-005
0.000000000000000E+000	2.4053230E+000	6.960831814342075E-005
0.000000000000000E+000	2.4038658E+000	7.057542535993787E-005
0.000000000000000E+000	2.4022508E+000	7.154220455222658E-005
0.000000000000000E+000	2.4008329E+000	7.250909308592477E-005
0.000000000000000E+000	2.3993754E+000	7.347576287057663E-005
0.000000000000000E+000	2.3978786E+000	7.444276074568429E-005
0.000000000000000E+000	2.3963425E+000	7.540997736983828E-005
0.000000000000000E+000	2.3949246E+000	7.637631899780697E-005
0.000000000000000E+000	2.3934278E+000	7.734397305382623E-005
0.000000000000000E+000	2.3920493E+000	7.831053349706863E-005
0.000000000000000E+000	2.3905129E+000	7.927753137217629E-005
0.000000000000000E+000	2.3890951E+000	8.024431056446500E-005
0.000000000000000E+000	2.3877559E+000	8.121108975675371E-005
0.000000000000000E+000	2.3861408E+000	8.217808763186137E-005
0.000000000000000E+000	2.3847229E+000	8.314464807510377E-005
0.000000000000000E+000	2.3833444E+000	8.411131785975563E-005
0.000000000000000E+000	2.3819263E+000	8.507787830299802E-005
0.000000000000000E+000	2.3805084E+000	8.604454808764988E-005
0.000000000000000E+000	2.3790903E+000	8.701154596275754E-005
0.000000000000000E+000	2.3776331E+000	8.797843449645573E-005
0.000000000000000E+000	2.3762546E+000	8.894543237156339E-005
0.000000000000000E+000	2.3748364E+000	8.991199281480579E-005
0.000000000000000E+000	2.3733790E+000	9.087888134850398E-005
0.000000000000000E+000	2.3719611E+000	9.184544179174637E-005
0.000000000000000E+000	2.3705432E+000	9.281243966685404E-005
0.000000000000000E+000	2.3692827E+000	9.377954688337116E-005
0.000000000000000E+000	2.3679829E+000	9.474621666802302E-005
0.000000000000000E+000	2.3664861E+000	9.571233961317276E-005
0.000000000000000E+000	2.3650682E+000	9.667868124114145E-005
0.000000000000000E+000	2.3636501E+000	9.764535102579330E-005
0.000000000000000E+000	2.3622322E+000	9.861202081044516E-005
0.000000000000000E+000	2.3608143E+000	9.957792500654857E-005
0.000000000000000E+000	2.3594356E+000	1.005450322230657E-004
0.000000000000000E+000	2.3578994E+000	1.015113738510344E-004
0.000000000000000E+000	2.3568361E+000	1.024780436356862E-004
0.000000000000000E+000	2.3554180E+000	1.034448228279750E-004
0.000000000000000E+000	2.3541181E+000	1.044117113616731E-004
0.000000000000000E+000	2.3526609E+000	1.053787092367808E-004
0.000000000000000E+000	2.3514004E+000	1.063459258609348E-004
0.000000000000000E+000	2.3499825E+000	1.073129237360425E-004
0.000000000000000E+000	2.3485644E+000	1.082797029283312E-004
0.000000000000000E+000	2.3473434E+000	1.092469195524852E-004
0.000000000000000E+000	2.3460042E+000	1.102133706543181E-004
0.000000000000000E+000	2.3446257E+000	1.111802591880163E-004
0.000000000000000E+000	2.3432076E+000	1.121478038363987E-004
0.000000000000000E+000	2.3419471E+000	1.131150204605527E-004
0.000000000000000E+000	2.3405685E+000	1.140821276770698E-004
0.000000000000000E+000	2.3392293E+000	1.150485787789027E-004
0.000000000000000E+000	2.3379295E+000	1.160154673126009E-004
0.000000000000000E+000	2.3366692E+000	1.169824651877086E-004
0.000000000000000E+000	2.3352511E+000	1.179489162895415E-004
0.000000000000000E+000	2.3341088E+000	1.189159141646491E-004
0.000000000000000E+000	2.3326910E+000	1.198826933569379E-004
0.000000000000000E+000	2.3313518E+000	1.208493631415897E-004
0.000000000000000E+000	2.3301306E+000	1.218162516752879E-004
0.000000000000000E+000	2.3287520E+000	1.227830308675766E-004
0.000000000000000E+000	2.3275311E+000	1.237497006522285E-004
0.000000000000000E+000	2.3261526E+000	1.247163704368804E-004
0.000000000000000E+000	2.3249314E+000	1.256834776533975E-004
0.000000000000000E+000	2.3237104E+000	1.266501474380494E-004
0.000000000000000E+000	2.3222923E+000	1.276172546545665E-004
0.000000000000000E+000	2.3210320E+000	1.285839244392184E-004
0.000000000000000E+000	2.3198502E+000	1.295508129729166E-004
0.000000000000000E+000	2.3184717E+000	1.305175921652053E-004
0.000000000000000E+000	2.3172901E+000	1.314844806989035E-004
0.000000000000000E+000	2.3159509E+000	1.324510411421459E-004
0.000000000000000E+000	2.3146904E+000	1.334178203344346E-004
0.000000000000000E+000	2.3133907E+000	1.343849275509517E-004
0.000000000000000E+000	2.3121696E+000	1.353515973356036E-004
0.000000000000000E+000	2.3109090E+000	1.363184858693018E-004
0.000000000000000E+000	2.3097274E+000	1.372854837444094E-004
0.000000000000000E+000	2.3082306E+000	1.382525909609265E-004
0.000000000000000E+000	2.3071673E+000	1.392198075850805E-004
0.000000000000000E+000	2.3057888E+000	1.401868054601882E-004
0.000000000000000E+000	2.3045676E+000	1.411532565620211E-004
0.000000000000000E+000	2.3033466E+000	1.421195981899898E-004
0.000000000000000E+000	2.3020861E+000	1.430864867236880E-004
0.000000000000000E+000	2.3009439E+000	1.440526096688377E-004
0.000000000000000E+000	2.2997229E+000	1.450198262929917E-004
0.000000000000000E+000	2.2984231E+000	1.459872615999647E-004
0.000000000000000E+000	2.2970839E+000	1.469538220432070E-004
0.000000000000000E+000	2.2958627E+000	1.479208199183147E-004
0.000000000000000E+000	2.2946024E+000	1.488874897029666E-004
0.000000000000000E+000	2.2935388E+000	1.498537219895258E-004
0.000000000000000E+000	2.2923179E+000	1.508209386136798E-004
0.000000000000000E+000	2.2910180E+000	1.517873897155127E-004
0.000000000000000E+000	2.2897575E+000	1.527542782492109E-004
0.000000000000000E+000	2.2886548E+000	1.537213854657280E-004
0.000000000000000E+000	2.2871974E+000	1.546881646580167E-004
0.000000000000000E+000	2.2861733E+000	1.556547251012591E-004
